Gene_Locus_ID,Gene_Symbol,Gene_Function,Uniprot_ID,GO_Terms,eggNOG,COG_ID,COG_Category,KEGG_Pathway
PA3560,fruA,(RefSeq) PTS system fructose-specific transporter subunit IIBC,Q9HY57,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; fructose import [GO:0032445]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401],NA,COG1299,,"Fructose and mannose metabolism, Metabolic pathways, Phosphotransferase system (PTS), Microbial metabolism in diverse environments"
PA3561,fruK,(RefSeq) 1-phosphofructokinase,Q9HY56,cytosol [GO:0005829]; 1-phosphofructokinase activity [GO:0008662]; phosphofructokinase activity [GO:0008443],NA,COG1105,,"Metabolic pathways, Phosphotransferase system (PTS), Fructose and mannose metabolism"
PA3562,fruI,(RefSeq) PTS system fructose-specific transporter subunit FruI,Q9HY55,cytoplasm [GO:0005737]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; fructose import [GO:0032445]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401],NA,COG1925,,Phosphotransferase system (PTS)
PA3563,NA,NA,Q9HY54,"DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; regulation of transcription, DNA-templated [GO:0006355]; response to fructose [GO:0009750]",NA,NA,NA,NA
PA3564,NA,NA,Q9HY53,"cytosol [GO:0005829]; hydrolase activity, acting on ester bonds [GO:0016788]",NA,COG0084,,NA
PA3565,NA,NA,Q9HY52,"DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription, DNA-templated [GO:0006351]",NA,COG0583,,NA
PA3566,NA,NA,Q9HY51,cytosol [GO:0005829]; catalytic activity [GO:0003824]; oxidoreductase activity [GO:0016491],NA,COG1359,,NA
PA3567,NA,NA,Q9HY50,oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270],NA,COG0604,,NA
PA3568,,(RefSeq) propionyl-CoA synthetase,P28812,NA,NA,NA,NA,"Propanoate metabolism, Metabolic pathways"
PA3569,mmsB,(RefSeq) 3-hydroxyisobutyrate dehydrogenase,P28811,"3-hydroxyisobutyrate dehydrogenase activity [GO:0008442]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; valine catabolic process [GO:0006574]",NA,COG2084,,"Metabolic pathways, Valine, leucine and isoleucine degradation"
PA3570,mmsA,(RefSeq) methylmalonate-semialdehyde dehydrogenase,P28810,malonate-semialdehyde dehydrogenase (acetylating) activity [GO:0018478]; methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491]; thymine catabolic process [GO:0006210]; valine catabolic process [GO:0006574],NA,COG1012,Proline degradation,"Metabolic pathways, Propanoate metabolism, Carbon metabolism, Valine, leucine and isoleucine degradation, beta-Alanine metabolism, Inositol phosphate metabolism"
PA3571,NA,NA,P28809,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; positive regulation of cellular amino acid biosynthetic process [GO:2000284],NA,COG1917,,NA
PA3571,NA,NA,P28809,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; positive regulation of cellular amino acid biosynthetic process [GO:2000284],NA,COG2207,,NA
PA3572,NA,NA,Q9HY48,NA,NA,NA,NA,NA
PA3573,NA,NA,Q9HY47,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; xenobiotic transmembrane transporter activity [GO:0042910]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961],NA,COG2814,,NA
PA3574,nalD,(RefSeq) transcriptional regulator,Q9HY46,"DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transmembrane transport [GO:0034763]; negative regulation of transport [GO:0051051]; negative regulation of transporter activity [GO:0032410]; regulation of transcription, DNA-templated [GO:0006355]",NA,NA,NA,beta-Lactam resistance
PA3575,NA,NA,Q9HY45,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; respiratory electron transport chain [GO:0022904],NA,NA,NA,NA
PA3576,NA,NA,Q9HY44,NA,NA,NA,NA,NA
PA3577,NA,NA,Q9HY43,NA,NA,NA,NA,NA
PA3578,NA,NA,Q9HY42,cytoplasm [GO:0005737]; isomerase activity [GO:0016853]; biosynthetic process [GO:0009058],NA,NA,NA,NA
PA3579,,(RefSeq) glycerol kinase,Q9HY41,cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072],NA,COG0554,,"Glycerolipid metabolism, Metabolic pathways"
PA3580,NA,NA,G3XCT4,aminoacyl-tRNA editing activity [GO:0002161]; lyase activity [GO:0016829]; translation [GO:0006412],NA,NA,NA,NA
PA3581,NA,NA,Q51389,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; glycerol channel activity [GO:0015254]; glycerol metabolic process [GO:0006071]; glycerol transport [GO:0015793],NA,COG0580,,NA
PA3582,glpK,(RefSeq) glycerol kinase,Q51390,cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072],NA,COG0554,,"Glycerolipid metabolism, Metabolic pathways"
PA3583,NA,NA,Q51391,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; glycerol metabolic process [GO:0006071]; negative regulation of cellular carbohydrate metabolic process [GO:0010677],NA,COG1349,,NA
PA3584,glpD,(RefSeq) glycerol-3-phosphate dehydrogenase,P52111,glycerol-3-phosphate dehydrogenase complex [GO:0009331]; glycerol-3-phosphate dehydrogenase (quinone) activity [GO:0004368]; sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity [GO:0052591]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate catabolic process [GO:0046168],NA,COG0578,Isoprenoid biosynthesis,"Glycerophospholipid metabolism, Biosynthesis of secondary metabolites"
PA3585,NA,NA,P52112,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; alginic acid biosynthetic process [GO:0042121],NA,NA,NA,NA
PA3586,NA,NA,Q9HY40,triglyceride lipase activity [GO:0004806]; glycerolipid catabolic process [GO:0046503],NA,COG0596,Menaquinone biosynthesis,NA
PA3587,NA,NA,Q9HY39,"cytoplasm [GO:0005737]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; methionine biosynthetic process [GO:0009086]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA3588,NA,NA,Q9HY38,integral component of membrane [GO:0016021]; porin activity [GO:0015288],NA,NA,NA,NA
PA3589,,(RefSeq) acetyl-CoA acetyltransferase,Q9HY37,acetyl-CoA C-acyltransferase activity [GO:0003988]; fatty acid beta-oxidation [GO:0006635]; phenylacetate catabolic process [GO:0010124],NA,NA,NA,"Fatty acid degradation, Valine, leucine and isoleucine degradation, Tryptophan metabolism, Pyruvate metabolism, Two-component system, Benzoate degradation, Fatty acid metabolism, Carbon metabolism, Lysine degradation, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Glyoxylate and dicarboxylate metabolism, Terpenoid backbone biosynthesis, Butanoate metabolism, Metabolic pathways"
PA3590,,(RefSeq) 3-hydroxyacyl-CoA dehydrogenase,Q9HY36,"NAD+ binding [GO:0070403]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; cellular catabolic process [GO:0044248]; fatty acid metabolic process [GO:0006631]; organic substance catabolic process [GO:1901575]",NA,COG1250,Fatty acid biosynthesis,"Phenylalanine metabolism, Phenylalanine metabolism, Metabolic pathways, Metabolic pathways, Benzoate degradation, Benzoate degradation, Microbial metabolism in diverse environments, Microbial metabolism in diverse environments, Carbon metabolism, Carbon metabolism, Butanoate metabolism, Butanoate metabolism"
PA3591,NA,NA,Q9HY35,enoyl-CoA hydratase activity [GO:0004300]; isomerase activity [GO:0016853]; fatty acid beta-oxidation [GO:0006635],NA,COG1024,Fatty acid biosynthesis,NA
PA3592,NA,NA,Q9HY34,catalytic activity [GO:0003824],NA,COG1804,,NA
PA3593,,(RefSeq) acyl-CoA dehydrogenase,Q9HY33,acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660],NA,COG1960,Fatty acid biosynthesis,"Metabolic pathways, Fatty acid degradation, Valine, leucine and isoleucine degradation, Fatty acid metabolism, Biosynthesis of secondary metabolites"
PA3594,NA,NA,Q9HY32,"protein-DNA complex [GO:0032993]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA3595,NA,NA,Q9HY31,integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],NA,COG0477,,NA
PA3596,NA,NA,Q9HY30,DNA-binding transcription factor activity [GO:0003700]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; methylation [GO:0032259],NA,COG2169,,NA
PA3597,NA,NA,Q9HY29,integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085],NA,COG0531,,NA
PA3598,NA,NA,Q9HY28,hydrolase activity [GO:0016787]; nitrogen compound metabolic process [GO:0006807],NA,NA,NA,NA
PA3599,NA,NA,Q9HY27,cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976],NA,COG2197,,NA
PA3600,,(RefSeq) 50S ribosomal protein L36,Q9HY26,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],NA,NA,NA,Ribosome
PA3601,,(RefSeq) 50S ribosomal protein L31 type B,Q9HY25,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],NA,NA,NA,Ribosome
PA3602,NA,NA,Q9HY24,integral component of membrane [GO:0016021]; glutamate synthase activity [GO:0015930]; oxidoreductase activity [GO:0016491]; glutamate biosynthetic process [GO:0006537],NA,COG0069,Glutamine biosynthesis,NA
PA3603,dgkA,(RefSeq) diacylglycerol kinase,Q9HY23,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]; metal ion binding [GO:0046872]; phosphatidic acid biosynthetic process [GO:0006654],NA,COG0818,,"Glycerolipid metabolism, Glycerophospholipid metabolism, Biosynthesis of secondary metabolites, Metabolic pathways"
PA3604,NA,NA,Q9HY22,"phosphorelay response regulator activity [GO:0000156]; regulation of ethanol catabolic process [GO:1900065]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG2197,,NA
PA3605,NA,NA,Q9HY21,integral component of membrane [GO:0016021],NA,COG0697,,NA
PA3606,NA,NA,Q9HY20,tRNA-uridine aminocarboxypropyltransferase activity [GO:0016432]; tRNA processing [GO:0008033],NA,NA,NA,NA
PA3607,potA,(RefSeq) polyamine transporter ATP-binding protein PotA,Q9HY19,ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type polyamine transporter activity [GO:0015417]; ATP binding [GO:0005524],NA,COG3842,,ABC transporters
PA3608,potB,(RefSeq) polyamine ABC transporter permease PotB,Q9HY18,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],NA,COG1176,,ABC transporters
PA3609,potC,(RefSeq) polyamine ABC transporter permease PotC,Q9HY17,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],NA,COG1177,,ABC transporters
PA3610,potD,(RefSeq) polyamine ABC transporter substrate-binding protein PotD,Q9HY16,periplasmic space [GO:0042597]; polyamine binding [GO:0019808]; polyamine transport [GO:0015846],NA,COG0687,,ABC transporters
PA3611,NA,NA,Q9HY15,NA,NA,NA,NA,NA
PA3612,NA,NA,Q9HY14,NA,NA,COG3530,,NA
PA3613,NA,NA,Q9HY13,aldehyde-lyase activity [GO:0016832]; carbohydrate metabolic process [GO:0005975],NA,COG3957,,NA
PA3614,NA,NA,Q9HY12,NA,NA,COG1236,,NA
PA3615,NA,NA,Q9HY11,cytosol [GO:0005829]; AMP nucleosidase activity [GO:0008714],NA,NA,NA,NA
PA3616,NA,NA,P37860,cytoplasm [GO:0005737]; regulation of DNA repair [GO:0006282],NA,COG2137,,NA
PA3617,recA,(RefSeq) recombinase A,P08280,"cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]",NA,COG0468,,Homologous recombination
PA3618,,(RefSeq) hypothetical protein,Q9HY10,NA,NA,NA,NA,"Nicotinate and nicotinamide metabolism, Metabolic pathways"
PA3619,NA,NA,Q9HY09,NA,NA,COG0823,,NA
PA3620,mutS,(RefSeq) DNA mismatch repair protein MutS,Q9HY08,"cytosol [GO:0005829]; mismatch repair complex [GO:0032300]; adenine/cytosine mispair binding [GO:0032136]; ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; damaged DNA binding [GO:0003684]; mismatch repair [GO:0006298]",NA,NA,NA,Mismatch repair
PA3621,NA,NA,Q9HY07,"3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]",NA,COG1146,,NA
PA3621.1,rsmZ,(RefSeq) regulatory RNA RsmZ,NA,NA,NA,NA,NA,Biofilm formation - Pseudomonas aeruginosa
PA3622,NA,NA,P45684,"cytoplasm [GO:0005737]; DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]; negative regulation of secondary metabolite biosynthetic process [GO:1900377]; positive regulation of chemotaxis [GO:0050921]; positive regulation of single-species biofilm formation on inanimate substrate [GO:1900233]; regulation of cell motility [GO:2000145]; regulation of cellular response to heat [GO:1900034]; regulation of cellular response to oxidative stress [GO:1900407]; regulation of response to salt stress [GO:1901000]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0568,RNA polymerase,NA
PA3623,NA,NA,P45682,cell division site [GO:0032153]; cell outer membrane [GO:0009279]; plasma membrane [GO:0005886]; metalloendopeptidase activity [GO:0004222]; septum digestion after cytokinesis [GO:0000920],NA,NA,NA,NA
PA3624,NA,NA,P45683,cytoplasm [GO:0005737]; protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719]; protein repair [GO:0030091],NA,NA,NA,NA
PA3625,surE,(RefSeq) 5'-nucleotidase SurE,Q9HY05,cytoplasm [GO:0005737]; 3'-nucleotidase activity [GO:0008254]; 5'-nucleotidase activity [GO:0008253]; exopolyphosphatase activity [GO:0004309]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; UMP catabolic process [GO:0046050],NA,COG0496,,"Purine metabolism, Pyrimidine metabolism, Biosynthesis of secondary metabolites, Metabolic pathways, Nucleotide metabolism, Nicotinate and nicotinamide metabolism"
PA3626,NA,NA,Q9HY04,cytosol [GO:0005829]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]; pseudouridine synthesis [GO:0001522]; tRNA pseudouridine synthesis [GO:0031119],NA,COG0585,tRNA modification,NA
PA3627,ygbB,"(RefSeq) 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",P57708,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; metal ion binding [GO:0046872]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]",NA,NA,NA,"Metabolic pathways, Terpenoid backbone biosynthesis, Biosynthesis of secondary metabolites"
PA3628,,(RefSeq) esterase,Q9HY02,cytosol [GO:0005829]; carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294],NA,COG0627,,"Carbon metabolism, Microbial metabolism in diverse environments, Metabolic pathways, Methane metabolism"
PA3629,adhC,(RefSeq) alcohol dehydrogenase,Q9HY01,"cytosol [GO:0005829]; alcohol dehydrogenase activity, zinc-dependent [GO:0004024]; formaldehyde dehydrogenase activity [GO:0018467]; S-(hydroxymethyl)glutathione dehydrogenase activity [GO:0051903]; S-(hydroxymethyl)glutathione dehydrogenase NAD activity [GO:0106322]; S-(hydroxymethyl)glutathione dehydrogenase NADP activity [GO:0106321]; zinc ion binding [GO:0008270]; ethanol oxidation [GO:0006069]; formaldehyde catabolic process [GO:0046294]",NA,NA,NA,"Glycolysis / Gluconeogenesis, Fatty acid degradation, Naphthalene degradation, Tyrosine metabolism, Methane metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Degradation of aromatic compounds, Chloroalkane and chloroalkene degradation, Pyruvate metabolism"
PA3630,NA,NA,Q9HY00,"DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription, DNA-templated [GO:0006351]",NA,COG0583,,NA
PA3631,NA,NA,Q9HXZ9,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,NA,NA
PA3632,NA,NA,Q9HXZ8,NA,NA,NA,NA,NA
PA3633,ygbP,(RefSeq) 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,P57707,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]",NA,NA,NA,"Metabolic pathways, Biosynthesis of secondary metabolites, Terpenoid backbone biosynthesis"
PA3634,NA,NA,Q9HXZ6,cell division site [GO:0032153]; cell septum [GO:0030428]; integral component of plasma membrane [GO:0005887]; FtsZ-dependent cytokinesis [GO:0043093],NA,NA,NA,NA
